StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q65,QID1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q30,Q29,Q28,C1,C3,C4,C14,C16,C25,C26,C28,A5,A8,A17,A19,A31,A32,B10,B11,B21,B22,B34,B35,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q67,Q68,Q69,Q70,Q71,Q63,Q64,Q54,Q65,Q64,Q63,Q62,Q80,Q83,Q82,Q81,Q66,Q68,Q78,Q71,Q77,Q74,Q69,Q70,Q67
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"IRB-FY21-22-2359
We are asking you to take part in a research study being done by Dr. Kulas a faculty member at Montclair State University. Being in this study is optional. 
If you choose to be in the study, you will complete a brief survey consisting of 5 short measures of work engagement as well as free-time activities (spending time either with pets or game-playing). This survey will help us learn more about measurement properties of scales purported to assess workers' work attitudes and free-time activities. You have been offered the opportunity to participate in this study since you are 18 years or older, and are employed part-time or full-time in the U.S. The survey will take about 10 minutes to complete. 

The survey is anonymous, and no one will be able to link your answers back to you. 
Employment questions or sensitive questions: We strongly advise that you do not use an employer issued electronic device, laptop, phone or WIFI to respond to this survey, as many employers monitor use of all devices. 
Questions about the study? Please contact Dr. John Kulas, Professor of Psychology in the College of Humanities and Social Sciences at kulasj@montclair.edu. 
If you have questions or concerns about your rights as a research participant, you can call the MSU Institutional Review Board at 973-655-7583 or email reviewboard@montclair.edu 
This study has been approved by the Montclair St University Institutional Review Board. If you want to participate in this study, please select the ""Accept"" option to start the survey.","I really ""throw"" myself into my job",Sometimes I am so into my job that I lose track of time,This job is all consuming; I am totally into it,My mind often wanders and I think of other things when doing my job,I am highly engaged in this job,Being a member of this organization is very captivating,One of the most exciting things for me is getting involved with things happening in this organization,"I am really not into the ""goings-on"" in this organization","Being a member of this organization makes me come ""alive""",Being a member of this organization is exhilarating for me,I am highly engaged in this organization,"At my work, I feel bursting with energy",I find the work that I do full of meaning and purpose,Time flies when I'm working,"At my job, I feel strong and vigorous",I am enthusiastic about my job,"When I am working, I forget everything else around me",My job inspires me,"When I get up in the morning, I feel like going to work",I feel happy when I am working intensely,I am proud of the work that I do,I am immersed in my work,I can continue working for very long periods at a time,"To me, my job is challenging",I get carried away when I'm working,"At my job, I am very resilient, mentally",It is difficult to detach myself from my job,"At my work I always persevere, even when things do not go well",I am able to concentrate on my work without getting distracted,Time passes quickly while I'm working,I find it difficult to mentally disconnect from work,Thinking about work saps my energy,I'm able to maintain good levels of energy throughout the workday,I plan to stay with this company as my career advances,I believe this company cares about my career goals,This organization challenges me to work at my full potential,I enjoy thinking about work even when I'm not at work,I love starting my workday,I enjoy spending time completing my job tasks,I feel motivated to go beyond what is asked of me at work,I feel proud of my accomplishments within this organization,My job makes me feel like I'm part of something meaningful,I have to be reminded to take breaks while I'm at work,I never miss a work deadline,When work is slow I find ways to be productive,I express enthusiasm for my job while at work,I embrace challenging situations at work,I speak positively about this organization to others,I am able to concentrate on my work without getting distracted,Time passes quickly while I'm working,I find it difficult to mentally disconnect from work,I enjoy thinking about work even when I'm not at work,I love starting my workday,I have to be reminded to take breaks while I'm at work,I never miss a work deadline,I plan to stay with this company as my career advances,I believe this company cares about my career goals,This organization challenges me to work at my full potential,I feel proud of my accomplishments within this organization,My job makes me feel like I'm part of something meaningful,I embrace challenging situations at work,I speak positively about this organization to others,Thinking about work saps my energy,I'm able to maintain good levels of energy throughout the workday,I enjoy spending time completing my job tasks,I feel motivated to go beyond what is asked of me at work,When work is slow I find ways to be productive,I express enthusiasm for my job while at work,Washed dishes,Made a bed,Cleaned the house,Ironed linens or clothes,Cooked a meal,"Baked a cake, pie, cookies, or bread","Knitted, quilted, sewed, or crocheted",Played with a pet animal,Fed a pet animal,Cared for a pet animal,Bathed or groomed a pet animal,Purchased a pet animal,I am thinking about leaving this organization,I am planning to look for a new job,I intend to ask people about new job opportunities,I don't plan to be in this organization much longer,Which of the following categories best describes your employment status?,Which of the following categories best describes the industry you work in?,What is the size of the organization you work for?,Which of the following categories best describes your current work arrangement?,What is your job title?,What is the best description of your job's managerial responsibilities?,Please indicate your age,Please indicate your education level,To which gender identity do you most identify?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID54""}","{""ImportId"":""QID65""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID93""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94""}","{""ImportId"":""QID79""}","{""ImportId"":""QID81""}","{""ImportId"":""QID91""}","{""ImportId"":""QID84""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID80""}"
2021-10-27 10:17:34,2021-10-27 10:27:49,IP Address,130.68.48.196,100,614,True,2021-10-27 10:27:50,R_5gxEABvPFkWFJxD,,,,,40.882293701171875,-74.21520233154296875,anonymous,EN,Accept,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Always (Every day),Always (Every day),Very often (A few times a week),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Always (Every day),Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,Not in the past year,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Part-time,"Agriculture, Food & Natural Resources","More than 50,000 employees",Remote work only,Learning and Development Intern,Non-managerial,21-29,Graduate degree,Female
2021-10-27 19:17:04,2021-10-27 19:25:12,IP Address,100.35.114.37,100,487,True,2021-10-27 19:25:12,R_2dYYAMq04F3IWGs,,,,,40.746307373046875,-74.15529632568359375,anonymous,EN,Accept,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Very often (A few times a week),Always (Every day),Sometimes (A few times a month),Often (Once a week),Always (Every day),Almost never (A few times a year or less),Often (Once a week),Often (Once a week),Very often (A few times a week),Always (Every day),Rarely (Once a month or less),Sometimes (A few times a month),Often (Once a week),Always (Every day),Often (Once a week),Rarely (Once a month or less),Always (Every day),,,,,,,,,,,,,,,,,,,,,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,ONCE or TWICE in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times","THREE or MORE times in the past year, but not more than 15 times",Not in the past year,ONCE or TWICE in the past year,NEVER in my life,Not in the past year,Not in the past year,Not in the past year,Not in the past year,NEVER in my life,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Full-time,"Science, Technology, Engineering & Mathematics",More than 10 but less than 500 employees,Remote work with the option to work on-site,Data Analyst,Executive,21-29,Graduate degree,Male
2021-11-02 10:59:08,2021-11-02 11:09:13,IP Address,24.0.236.237,100,605,True,2021-11-02 11:09:14,R_2fH7HNCqZqoCs2E,,,,,40.829498291015625,-74.24559783935546875,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Often (Once a week),Often (Once a week),Often (Once a week),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Very often (A few times a week),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,NEVER in my life,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Part-time,Education & Training,"More than 500 but less than 5,000 employees",On-site with the option to work remotely when desired,Graduate Assistant,Non-managerial,21-29,Graduate degree,Male
2021-11-02 11:02:01,2021-11-02 11:12:43,IP Address,130.68.48.191,100,641,True,2021-11-02 11:12:44,R_2V7UNUug2kuFN8g,,,,,40.882293701171875,-74.21520233154296875,anonymous,EN,Accept,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Almost never (A few times a year or less),Sometimes (A few times a month),Often (Once a week),Almost never (A few times a year or less),Sometimes (A few times a month),Often (Once a week),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Very often (A few times a week),Rarely (Once a month or less),Sometimes (A few times a month),Rarely (Once a month or less),Very often (A few times a week),Rarely (Once a month or less),,,,,,,,,,,,,,,,,,,,,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,Not in the past year,Not in the past year,Not in the past year,Not in the past year,Not in the past year,NEVER in my life,Strongly Agree,Agree,Agree,Strongly Agree,Full-time,Education & Training,"More than 5,000 but less than 10,000 employees",On-site work only,Professor,Front-line management,40-49,Graduate degree,Male
2021-11-02 12:22:17,2021-11-02 12:33:04,IP Address,73.33.221.64,100,646,True,2021-11-02 12:33:04,R_2pQvsBmfSH3LYS8,,,,,39.3773040771484375,-74.61229705810546875,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Rarely (Once a month or less),Almost never (A few times a year or less),Rarely (Once a month or less),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Almost never (A few times a year or less),Sometimes (A few times a month),Sometimes (A few times a month),,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,Not in the past year,Strongly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Full-time,Hospitality & Tourism,"More than 50,000 employees",On-site work only,Sales Representative,Non-managerial,21-29,Bachelor degree,Female
2021-11-02 13:01:19,2021-11-02 13:11:17,IP Address,130.68.183.229,100,597,True,2021-11-02 13:11:17,R_1o5cj38glCtzaKX,,,,,40.8459014892578125,-74.200897216796875,anonymous,EN,Accept,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Almost never (A few times a year or less),Almost never (A few times a year or less),Sometimes (A few times a month),Sometimes (A few times a month),Almost never (A few times a year or less),Never,Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Almost never (A few times a year or less),Never,Very often (A few times a week),Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Part-time,Health Science,Less than 10 employees,On-site work only,"Office Assistant ",Non-managerial,21-29,Graduate degree,Female
2021-11-02 13:24:22,2021-11-02 13:33:01,IP Address,24.144.190.13,100,518,True,2021-11-02 13:33:01,R_3lGfidICRfQtEJe,,,,,40.612396240234375,-80.06400299072265625,anonymous,EN,Accept,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Almost never (A few times a year or less),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Sometimes (A few times a month),Rarely (Once a month or less),Sometimes (A few times a month),Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,"THREE or MORE times in the past year, but not more than 15 times","THREE or MORE times in the past year, but not more than 15 times","THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times","THREE or MORE times in the past year, but not more than 15 times",Not in the past year,NEVER in my life,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Full-time,"Science, Technology, Engineering & Mathematics","More than 500 but less than 5,000 employees",On-site work only,Do not wish to say,Front-line management,21-29,Bachelor degree,Female
2021-11-02 19:01:49,2021-11-02 19:06:40,IP Address,72.76.202.35,100,291,True,2021-11-02 19:06:41,R_2uy2ZFnxff4i0aG,,,,,40.8022003173828125,-74.19139862060546875,anonymous,EN,Accept,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,"THREE or MORE times in the past year, but not more than 15 times","THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Self-employed,"Agriculture, Food & Natural Resources","More than 500 but less than 5,000 employees",On-site work only,"Barista ",Non-managerial,21-29,Graduate degree,Male
